-0.472136;-nan;-nan
1.05573;-5.67215;19.913
0.472136;-7.31488;10.6407
-0.111456;-7.85726;10.4661
0.249224;-7.83226;2.88298
0.111456;-7.91388;3.52064
-0.0263112;-7.91091;0.764733
0.0263112;-7.94295;0.20981
0.0588337;-7.98348;3.8578
0.0913562;-7.95524;0.0187492
0.0789337;-7.95457;0.0283207
0.0712562;-7.95198;0.699944
0.0635787;-7.95734;0.0302458
0.0665112;-7.95876;0.0318278
0.0683236;-7.95115;0.0652811
0.0694438;-7.95453;0.0519275
0.0701361;-7.95736;0.0154447
0.0708283;-7.95478;0.0295323
0.0705639;-7.93935;1.98303
0.0702995;-7.96468;1.81137
0.0704005;-7.95436;0.0420923
0.0705015;-7.95872;0.0385595
0.0704391;-7.94838;0.399664
0.0704629;-7.95312;0.0550531
0.0704776;-7.94843;0.139393
0.0704924;-7.93632;2.10294
0.0704833;-7.91658;3.0467
0.0704867;-7.94026;1.71967
0.0704902;-7.9325;1.07711
0.0704881;-7.90561;4.50755
0.0704889;-7.9062;5.52756
0.0704897;-7.94769;0.511948
